patch_id,keypoints
21,"114.00,139.00;114.00,123.00"
16,"96.00,150.00;79.00,178.00;105.00,153.00;94.00,174.00;106.00,172.00"
22,"134.00,150.00;114.00,181.00;114.00,155.00;125.00,153.00;114.00,174.00;124.00,172.00;138.00,174.00"
8,"43.00,93.00;55.00,86.00;71.00,87.00;70.00,100.00;55.00,99.00"
14,"85.00,96.00"
20,"144.00,98.00;114.00,92.00;114.00,108.00"
32,"187.00,96.00"
28,"153.00,179.00"
26,"158.00,89.00;174.00,89.00;174.00,102.00;158.00,102.00"
23,"139.00,186.00;126.00,189.00;116.00,190.00"
