patch_id,keypoints
15,"96.00,132.00;76.00,143.00;98.00,118.00;87.00,146.00;109.00,146.00"
21,"121.00,145.00"
2,"34.00,89.00"
14,"74.00,91.00;101.00,88.00;99.00,103.00"
20,"134.00,92.00;146.00,82.00"
26,"176.00,90.00;162.00,82.00;163.00,92.00;148.00,93.00"
10,"54.00,168.00;70.00,163.00"
28,"153.00,168.00"
16,"98.00,171.00;97.00,148.00;87.00,161.00;99.00,164.00"
8,"47.00,81.00;62.00,82.00;60.00,92.00;46.00,92.00"
22,"112.00,162.00;132.00,165.00;132.00,182.00"
23,"111.00,187.00"
17,"97.00,187.00"
