patch_id,keypoints
21,"130.00,127.00;147.00,144.00;129.00,113.00;116.00,145.00;127.00,147.00;137.00,146.00"
15,"104.00,143.00"
8,"51.00,85.00;65.00,80.00;64.00,92.00"
14,"93.00,89.00;81.00,80.00;79.00,92.00"
26,"154.00,89.00;167.00,80.00;182.00,80.00;184.00,92.00;168.00,93.00"
32,"195.00,86.00"
16,"81.00,177.00;99.00,170.00"
28,"160.00,179.00"
22,"124.00,177.00;114.00,165.00;124.00,169.00;134.00,166.00;146.00,172.00"
20,"127.00,84.00;128.00,99.00"
23,"145.00,187.00;132.00,190.00;121.00,190.00"
