patch_id,keypoints
21,"114.00,124.00;138.00,140.00;114.00,144.00;126.00,142.00"
15,"91.00,142.00;103.00,143.00"
8,"40.00,84.00;53.00,77.00;70.00,77.00;69.00,91.00;52.00,90.00"
14,"84.00,88.00"
20,"144.00,86.00;112.00,80.00;113.00,95.00;114.00,109.00"
32,"189.00,79.00"
16,"74.00,173.00;91.00,168.00;105.00,164.00"
28,"156.00,170.00"
22,"116.00,174.00;114.00,166.00;124.00,163.00;139.00,166.00;140.00,180.00"
26,"158.00,74.00;176.00,87.00;160.00,88.00"
25,"175.00,73.00"
23,"126.00,186.00;116.00,187.00"
