patch_id,keypoints
21,"133.00,140.00;131.00,123.00"
16,"107.00,149.00;89.00,178.00;106.00,177.00"
28,"150.00,149.00;161.00,179.00;149.00,177.00"
8,"46.00,90.00;60.00,84.00;59.00,96.00"
14,"91.00,92.00;77.00,84.00;76.00,96.00"
26,"155.00,93.00;168.00,84.00;184.00,84.00;169.00,96.00"
32,"197.00,90.00;185.00,96.00"
22,"129.00,183.00;118.00,152.00;130.00,154.00;140.00,152.00;121.00,174.00;129.00,176.00;137.00,174.00"
20,"128.00,90.00;130.00,106.00"
29,"149.00,188.00"
23,"138.00,191.00;129.00,192.00"
