patch_id,keypoints
15,"106.00,137.00;89.00,147.00;107.00,121.00"
22,"127.00,149.00;117.00,151.00;118.00,167.00;132.00,171.00"
8,"44.00,90.00;57.00,83.00;72.00,84.00;71.00,97.00;55.00,96.00"
14,"85.00,95.00;109.00,90.00;108.00,106.00"
20,"138.00,96.00"
26,"180.00,92.00;151.00,85.00;167.00,84.00;168.00,99.00;152.00,99.00"
16,"74.00,175.00;108.00,177.00;98.00,150.00;107.00,152.00;87.00,170.00;99.00,166.00;108.00,169.00"
28,"149.00,177.00"
23,"133.00,188.00;118.00,192.00"
17,"108.00,192.00"
