patch_id,keypoints
21,"125.00,127.00;146.00,139.00;112.00,140.00;125.00,144.00;136.00,141.00"
15,"100.00,137.00"
8,"48.00,82.00;60.00,75.00;60.00,85.00"
14,"89.00,83.00;76.00,75.00;75.00,85.00"
26,"151.00,84.00;164.00,76.00;179.00,78.00;179.00,88.00;164.00,87.00"
32,"190.00,85.00"
16,"77.00,168.00;96.00,163.00"
28,"165.00,169.00;152.00,163.00;152.00,174.00"
22,"126.00,170.00;113.00,160.00;125.00,164.00;137.00,161.00;138.00,176.00;126.00,177.00"
20,"123.00,77.00;124.00,94.00;125.00,110.00"
