patch_id,keypoints
21,"136.00,116.00;121.00,137.00;135.00,138.00;146.00,136.00"
15,"110.00,135.00"
27,"156.00,134.00"
8,"55.00,84.00;69.00,78.00;68.00,87.00"
14,"99.00,85.00;83.00,78.00;84.00,87.00"
26,"156.00,85.00;170.00,78.00;184.00,78.00;170.00,87.00"
32,"196.00,84.00;185.00,87.00"
16,"88.00,171.00;107.00,161.00"
28,"174.00,170.00;160.00,160.00;161.00,176.00"
22,"135.00,167.00;125.00,154.00;136.00,156.00;146.00,154.00;147.00,180.00;136.00,181.00"
20,"131.00,76.00;133.00,89.00;134.00,102.00"
