patch_id,keypoints
27,"167.00,137.00;175.00,145.00;163.00,120.00"
21,"137.00,145.00"
8,"73.00,85.00"
20,"118.00,89.00"
26,"171.00,90.00;157.00,86.00;160.00,103.00;183.00,79.00"
32,"208.00,85.00;198.00,78.00;199.00,92.00;185.00,92.00"
16,"101.00,170.00"
28,"183.00,169.00;155.00,175.00;148.00,149.00;159.00,153.00;168.00,150.00;156.00,168.00;165.00,165.00;174.00,167.00;175.00,184.00"
14,"88.00,78.00;104.00,79.00;103.00,92.00;86.00,92.00"
22,"125.00,168.00;145.00,165.00"
29,"165.00,191.00;155.00,193.00"
