patch_id,keypoints
21,"114.00,140.00;139.00,146.00;114.00,123.00"
15,"92.00,145.00"
8,"41.00,92.00;55.00,86.00;70.00,86.00;69.00,96.00;54.00,95.00"
14,"84.00,94.00"
20,"147.00,94.00;114.00,90.00;114.00,107.00"
32,"190.00,91.00"
10,"60.00,161.00"
28,"168.00,161.00;149.00,161.00"
22,"116.00,170.00;114.00,153.00;128.00,149.00;116.00,165.00;129.00,162.00"
16,"103.00,149.00;81.00,162.00;102.00,162.00"
26,"161.00,86.00;176.00,85.00;177.00,95.00;162.00,95.00"
29,"150.00,187.00"
23,"129.00,197.00;114.00,199.00"
