patch_id,keypoints
21,"125.00,140.00;125.00,124.00"
16,"99.00,148.00;75.00,172.00;93.00,167.00"
22,"146.00,148.00;121.00,173.00;111.00,150.00;124.00,153.00;135.00,150.00;112.00,165.00;121.00,167.00;133.00,165.00;147.00,167.00"
8,"41.00,95.00;57.00,87.00;73.00,102.00;55.00,101.00"
14,"89.00,99.00;74.00,88.00"
26,"150.00,99.00;165.00,88.00;182.00,87.00;183.00,102.00;166.00,102.00"
32,"195.00,95.00"
28,"160.00,172.00"
20,"123.00,92.00;124.00,108.00"
23,"147.00,186.00;133.00,192.00;121.00,192.00"
