patch_id,keypoints
15,"95.00,129.00;79.00,140.00;96.00,116.00;88.00,143.00;98.00,145.00;108.00,143.00"
21,"120.00,142.00"
8,"37.00,92.00;50.00,85.00;64.00,85.00;63.00,97.00;48.00,97.00"
14,"76.00,95.00;99.00,90.00;98.00,103.00"
20,"134.00,97.00;147.00,87.00"
26,"176.00,95.00;162.00,87.00;163.00,99.00;148.00,99.00"
10,"63.00,161.00"
28,"156.00,162.00"
16,"101.00,166.00;77.00,159.00;91.00,159.00;101.00,161.00"
22,"113.00,159.00;133.00,161.00;135.00,180.00"
23,"114.00,187.00"
17,"102.00,187.00"
