patch_id,keypoints
27,"149.00,134.00;168.00,141.00;158.00,145.00"
21,"120.00,142.00;147.00,118.00;133.00,145.00"
8,"66.00,89.00"
14,"108.00,91.00;80.00,83.00;94.00,83.00;94.00,91.00;80.00,92.00"
26,"164.00,90.00;177.00,81.00;179.00,91.00"
32,"203.00,87.00;191.00,81.00;192.00,90.00"
16,"90.00,163.00"
28,"184.00,162.00;157.00,157.00;171.00,158.00;171.00,175.00;157.00,182.00"
22,"144.00,166.00;146.00,149.00;112.00,158.00;131.00,157.00;144.00,159.00;144.00,184.00"
20,"142.00,86.00;145.00,102.00"
