patch_id,keypoints
21,"134.00,143.00;133.00,125.00"
16,"110.00,149.00;90.00,173.00;106.00,166.00"
28,"153.00,149.00;166.00,172.00;155.00,166.00;155.00,180.00"
8,"56.00,94.00;70.00,89.00;69.00,98.00"
14,"96.00,95.00;84.00,89.00;83.00,98.00"
26,"154.00,95.00;167.00,89.00;180.00,90.00;181.00,98.00;167.00,98.00"
32,"192.00,95.00"
22,"132.00,175.00;121.00,153.00;133.00,156.00;144.00,153.00;121.00,164.00;132.00,167.00;143.00,164.00;144.00,184.00"
20,"130.00,92.00;131.00,109.00"
23,"132.00,185.00"
