patch_id,keypoints
21,"140.00,134.00;138.00,119.00;121.00,147.00;147.00,147.00"
15,"109.00,144.00"
27,"157.00,143.00"
8,"50.00,92.00;65.00,86.00;64.00,96.00"
14,"95.00,95.00;81.00,86.00;80.00,97.00"
26,"155.00,95.00;169.00,86.00;184.00,86.00;170.00,97.00"
32,"198.00,92.00;185.00,96.00"
10,"68.00,165.00"
28,"175.00,163.00;159.00,162.00;159.00,180.00"
22,"131.00,169.00;135.00,150.00;117.00,162.00;131.00,164.00;144.00,162.00"
20,"134.00,90.00;136.00,105.00"
16,"94.00,163.00"
23,"144.00,188.00;130.00,190.00"
