patch_id,keypoints
21,"124.00,128.00;144.00,142.00;123.00,111.00;113.00,145.00;124.00,147.00;134.00,144.00"
15,"103.00,142.00"
8,"52.00,89.00;65.00,83.00;65.00,91.00"
14,"92.00,87.00;79.00,81.00;79.00,90.00"
26,"148.00,87.00;161.00,81.00;175.00,83.00;175.00,91.00;161.00,90.00"
32,"187.00,88.00"
16,"83.00,177.00;99.00,171.00"
28,"162.00,176.00;149.00,170.00;149.00,183.00"
22,"125.00,176.00;114.00,167.00;125.00,169.00;135.00,166.00"
20,"121.00,80.00;121.00,96.00"
23,"136.00,187.00;125.00,188.00"
