patch_id,keypoints
27,"173.00,137.00;169.00,123.00"
22,"140.00,148.00;124.00,166.00;147.00,164.00"
28,"180.00,148.00;157.00,171.00;152.00,151.00;164.00,154.00;173.00,152.00;158.00,166.00;169.00,164.00;180.00,166.00"
14,"79.00,97.00;93.00,89.00;108.00,90.00;107.00,101.00;92.00,100.00"
20,"121.00,99.00"
26,"172.00,101.00;160.00,95.00;164.00,109.00;184.00,92.00;184.00,103.00"
32,"207.00,100.00;197.00,92.00;198.00,103.00"
16,"98.00,168.00"
34,"187.00,169.00"
29,"178.00,187.00;166.00,195.00;155.00,196.00"
