patch_id,keypoints
15,"101.00,145.00;103.00,113.00;102.00,129.00"
16,"80.00,150.00;106.00,174.00;91.00,153.00;103.00,157.00;75.00,166.00;93.00,166.00;105.00,169.00"
22,"128.00,150.00;116.00,153.00;120.00,166.00;142.00,165.00"
2,"32.00,96.00"
14,"76.00,100.00;104.00,97.00"
20,"139.00,100.00"
26,"183.00,96.00;154.00,91.00;170.00,90.00;171.00,101.00;155.00,102.00"
10,"57.00,165.00"
28,"163.00,163.00"
8,"47.00,91.00;63.00,91.00;62.00,103.00;45.00,102.00"
23,"143.00,186.00;121.00,196.00"
17,"106.00,198.00"
