patch_id,keypoints
15,"96.00,146.00;99.00,113.00;98.00,129.00"
16,"79.00,155.00;89.00,158.00;100.00,160.00;79.00,178.00;92.00,177.00;103.00,180.00"
22,"126.00,155.00;146.00,181.00;113.00,157.00;114.00,177.00;131.00,178.00"
2,"36.00,95.00"
14,"77.00,98.00;101.00,96.00"
20,"136.00,97.00"
26,"178.00,93.00;150.00,89.00;165.00,88.00;167.00,99.00;151.00,100.00"
10,"69.00,181.00"
17,"103.00,185.00;105.00,196.00"
8,"48.00,90.00;64.00,90.00;63.00,102.00;48.00,102.00"
23,"132.00,190.00;117.00,195.00"
