patch_id,keypoints
21,"126.00,140.00;144.00,147.00;125.00,123.00"
15,"99.00,146.00"
8,"45.00,90.00;60.00,85.00;59.00,95.00"
14,"89.00,92.00;76.00,84.00;75.00,95.00"
20,"146.00,93.00;121.00,89.00;124.00,106.00"
32,"188.00,93.00"
16,"79.00,174.00;110.00,150.00;96.00,168.00;110.00,166.00"
28,"157.00,173.00"
22,"121.00,176.00;123.00,154.00;134.00,151.00;121.00,169.00;132.00,167.00;144.00,169.00;145.00,180.00;133.00,183.00;121.00,184.00"
26,"161.00,86.00;176.00,86.00;176.00,98.00;160.00,97.00"
