patch_id,keypoints
21,"134.00,123.00;120.00,141.00;131.00,143.00;141.00,141.00"
15,"108.00,138.00"
27,"151.00,138.00"
8,"51.00,87.00;64.00,80.00;64.00,89.00"
14,"91.00,85.00;78.00,79.00;78.00,88.00"
26,"152.00,86.00;165.00,80.00;178.00,81.00;178.00,89.00;165.00,88.00"
32,"190.00,87.00"
16,"86.00,174.00;103.00,167.00"
28,"164.00,173.00;151.00,166.00;152.00,177.00"
22,"129.00,171.00;117.00,164.00;129.00,167.00;140.00,164.00;142.00,178.00;130.00,179.00"
20,"128.00,79.00;130.00,94.00;132.00,108.00"
