patch_id,keypoints
15,"108.00,140.00;107.00,124.00"
16,"86.00,149.00;110.00,177.00;97.00,153.00;109.00,155.00;82.00,171.00;98.00,169.00;109.00,171.00"
22,"132.00,149.00;121.00,152.00;121.00,169.00;138.00,170.00;138.00,180.00;123.00,184.00"
2,"33.00,103.00"
14,"77.00,103.00;106.00,94.00;107.00,110.00"
20,"138.00,102.00"
26,"183.00,101.00;152.00,93.00;169.00,94.00;170.00,105.00;153.00,105.00"
10,"65.00,174.00"
28,"155.00,172.00"
8,"46.00,95.00;63.00,94.00;63.00,106.00;46.00,107.00"
17,"110.00,185.00"
