patch_id,keypoints
22,"147.00,149.00;118.00,153.00;137.00,174.00;130.00,157.00;143.00,161.00;124.00,169.00;137.00,171.00"
28,"161.00,153.00;177.00,163.00;153.00,157.00;149.00,168.00;163.00,166.00"
8,"64.00,96.00"
14,"106.00,100.00;78.00,90.00;93.00,91.00;92.00,102.00;77.00,101.00"
26,"162.00,100.00;175.00,91.00;176.00,101.00"
32,"201.00,96.00;189.00,90.00;190.00,101.00"
16,"79.00,164.00;103.00,167.00"
20,"143.00,98.00"
21,"144.00,114.00;146.00,132.00"
29,"164.00,186.00;149.00,196.00"
23,"136.00,198.00"
