patch_id,keypoints
21,"133.00,139.00;132.00,121.00"
15,"108.00,146.00"
27,"153.00,144.00"
8,"55.00,85.00;68.00,79.00;67.00,90.00"
14,"95.00,88.00;82.00,80.00;81.00,90.00"
26,"156.00,87.00;170.00,78.00;183.00,77.00;171.00,89.00"
32,"195.00,82.00;185.00,88.00"
16,"82.00,169.00;102.00,168.00"
28,"174.00,166.00;157.00,167.00;158.00,177.00"
22,"131.00,175.00;120.00,149.00;133.00,153.00;144.00,148.00;119.00,167.00;131.00,169.00;142.00,167.00;144.00,179.00;132.00,181.00"
20,"129.00,87.00;130.00,104.00"
