patch_id,keypoints
21,"119.00,142.00;119.00,126.00"
16,"98.00,150.00;75.00,168.00;108.00,153.00;91.00,167.00;108.00,167.00"
22,"140.00,151.00;119.00,176.00;119.00,156.00;129.00,153.00;119.00,169.00;130.00,167.00;147.00,168.00"
8,"47.00,95.00;60.00,88.00;59.00,100.00"
14,"88.00,98.00;75.00,88.00;74.00,101.00"
26,"149.00,98.00;161.00,89.00;177.00,89.00;178.00,101.00;162.00,101.00"
32,"190.00,96.00"
28,"165.00,169.00"
20,"118.00,93.00;119.00,110.00"
29,"148.00,187.00"
23,"131.00,195.00;119.00,196.00"
