patch_id,keypoints
21,"121.00,125.00;139.00,142.00;120.00,113.00;119.00,145.00;129.00,144.00"
15,"99.00,142.00;109.00,143.00"
8,"45.00,95.00;59.00,85.00;57.00,101.00"
14,"89.00,97.00;76.00,85.00;75.00,101.00"
20,"147.00,98.00;120.00,90.00;120.00,101.00"
32,"191.00,96.00"
16,"81.00,175.00;95.00,168.00;109.00,163.00"
28,"154.00,176.00"
22,"118.00,173.00;118.00,166.00;128.00,164.00;140.00,169.00;140.00,183.00"
26,"161.00,85.00;177.00,86.00;178.00,102.00;161.00,102.00"
23,"127.00,185.00;118.00,186.00"
