patch_id,keypoints
21,"121.00,139.00;146.00,146.00;121.00,121.00"
16,"99.00,148.00;78.00,175.00;95.00,172.00"
8,"54.00,94.00;66.00,90.00;66.00,97.00"
14,"92.00,94.00;79.00,90.00;79.00,97.00"
26,"153.00,93.00;165.00,88.00;178.00,88.00;178.00,95.00;166.00,95.00"
32,"190.00,91.00"
28,"168.00,172.00;151.00,170.00"
22,"123.00,178.00;111.00,150.00;123.00,153.00;135.00,150.00;111.00,170.00;123.00,172.00;135.00,169.00"
20,"123.00,91.00;123.00,107.00"
29,"152.00,185.00"
23,"137.00,190.00;124.00,191.00"
