patch_id,keypoints
15,"106.00,128.00;86.00,140.00;106.00,112.00;96.00,143.00;107.00,145.00"
21,"128.00,140.00;118.00,142.00"
8,"40.00,81.00;68.00,74.00;67.00,86.00;51.00,86.00"
14,"80.00,83.00;107.00,81.00;107.00,97.00"
20,"139.00,83.00"
26,"180.00,81.00;170.00,86.00;154.00,86.00"
16,"74.00,170.00;107.00,169.00;86.00,164.00;98.00,160.00;107.00,163.00;108.00,180.00"
28,"149.00,169.00"
7,"52.00,73.00"
25,"153.00,73.00;169.00,73.00"
22,"118.00,160.00;133.00,164.00;134.00,177.00;119.00,179.00"
