patch_id,keypoints
15,"87.00,121.00;78.00,141.00;89.00,142.00;103.00,140.00"
9,"67.00,139.00"
21,"116.00,138.00"
2,"27.00,99.00"
8,"68.00,99.00;39.00,92.00;54.00,91.00;55.00,103.00;39.00,104.00"
20,"132.00,96.00;146.00,87.00;147.00,100.00"
26,"177.00,94.00;163.00,87.00;164.00,99.00"
10,"56.00,176.00;67.00,165.00"
22,"139.00,174.00;119.00,165.00;121.00,183.00"
16,"90.00,169.00;80.00,159.00;90.00,161.00;101.00,159.00"
14,"95.00,88.00;92.00,99.00;89.00,110.00"
17,"103.00,185.00;92.00,186.00"
