patch_id,keypoints
21,"136.00,147.00;134.00,114.00;135.00,130.00"
22,"111.00,155.00;133.00,180.00;123.00,157.00;135.00,159.00;145.00,157.00;124.00,173.00;133.00,176.00;143.00,173.00"
28,"154.00,154.00;166.00,173.00;154.00,173.00;154.00,184.00"
8,"55.00,96.00;70.00,89.00;68.00,103.00"
14,"99.00,101.00;87.00,90.00;85.00,104.00"
26,"158.00,102.00;171.00,90.00;172.00,104.00"
32,"199.00,96.00;186.00,89.00;188.00,103.00"
16,"91.00,176.00;109.00,175.00"
20,"134.00,98.00"
23,"143.00,189.00;133.00,191.00"
