patch_id,keypoints
15,"92.00,131.00;78.00,145.00;95.00,116.00;86.00,146.00;95.00,147.00;106.00,146.00"
21,"118.00,147.00"
8,"40.00,95.00;51.00,88.00;65.00,88.00;64.00,98.00;50.00,99.00"
14,"78.00,96.00;100.00,89.00;98.00,103.00"
20,"137.00,96.00"
26,"180.00,96.00;152.00,89.00;167.00,89.00;167.00,100.00;152.00,99.00"
10,"62.00,176.00;72.00,167.00"
22,"143.00,178.00;125.00,169.00"
16,"96.00,171.00;85.00,162.00;96.00,165.00;108.00,163.00"
23,"126.00,192.00"
17,"108.00,197.00;96.00,198.00"
