patch_id,keypoints
21,"135.00,133.00;134.00,118.00"
22,"111.00,148.00;130.00,177.00;121.00,149.00;133.00,151.00;142.00,149.00;120.00,169.00;131.00,171.00;141.00,168.00"
27,"150.00,147.00"
8,"48.00,91.00;62.00,82.00;62.00,96.00"
14,"94.00,94.00;80.00,83.00;79.00,96.00"
26,"156.00,94.00;171.00,83.00;171.00,97.00"
32,"199.00,93.00;187.00,84.00;187.00,98.00"
16,"82.00,177.00;103.00,173.00"
28,"167.00,176.00;153.00,172.00"
20,"131.00,87.00;132.00,103.00"
29,"154.00,187.00"
23,"142.00,191.00;131.00,192.00"
