patch_id,keypoints
21,"119.00,134.00;137.00,147.00;119.00,120.00"
15,"101.00,147.00"
8,"48.00,94.00;60.00,87.00;60.00,102.00"
14,"91.00,99.00;78.00,88.00;76.00,103.00"
26,"148.00,99.00;160.00,88.00;176.00,88.00;178.00,102.00;162.00,103.00"
32,"189.00,95.00"
16,"84.00,182.00;110.00,149.00;98.00,172.00"
28,"154.00,182.00"
22,"121.00,177.00;119.00,150.00;128.00,148.00;112.00,166.00;121.00,168.00;130.00,165.00;142.00,171.00"
20,"120.00,94.00;119.00,107.00"
23,"142.00,191.00;130.00,195.00;121.00,196.00"
