patch_id,keypoints
21,"119.00,120.00;138.00,138.00;119.00,141.00;128.00,139.00"
15,"100.00,138.00;109.00,139.00"
8,"45.00,87.00;57.00,80.00;71.00,79.00;71.00,90.00;57.00,90.00"
14,"85.00,86.00"
26,"150.00,85.00;163.00,79.00;177.00,80.00;177.00,89.00;163.00,89.00"
32,"190.00,86.00"
16,"76.00,173.00;94.00,165.00;109.00,158.00"
28,"159.00,170.00"
22,"120.00,169.00;120.00,161.00;130.00,157.00;144.00,162.00;145.00,180.00"
20,"118.00,74.00;119.00,89.00;119.00,104.00"
23,"131.00,185.00;120.00,186.00"
