patch_id,keypoints
15,"103.00,129.00;83.00,141.00;105.00,114.00;93.00,143.00;104.00,146.00"
21,"129.00,141.00;117.00,143.00"
8,"44.00,90.00;56.00,86.00;70.00,86.00;69.00,94.00;56.00,94.00"
14,"82.00,91.00;109.00,86.00;107.00,100.00"
20,"142.00,92.00"
26,"180.00,91.00;155.00,86.00;169.00,87.00;169.00,95.00;155.00,94.00"
10,"66.00,176.00"
22,"143.00,176.00;116.00,164.00;131.00,168.00"
16,"105.00,172.00;80.00,168.00;95.00,164.00;105.00,166.00"
23,"130.00,189.00;114.00,194.00"
17,"103.00,195.00"
