patch_id,keypoints
15,"88.00,133.00;90.00,116.00;81.00,145.00;91.00,147.00;104.00,145.00"
9,"72.00,142.00"
21,"116.00,143.00"
2,"30.00,84.00"
8,"68.00,87.00;42.00,78.00;56.00,79.00;55.00,90.00;41.00,90.00"
20,"129.00,88.00;141.00,80.00;143.00,92.00"
26,"169.00,85.00;156.00,80.00;158.00,91.00"
10,"57.00,170.00;71.00,167.00"
22,"141.00,172.00;121.00,169.00;121.00,182.00"
16,"94.00,174.00;84.00,166.00;93.00,168.00;104.00,167.00"
14,"92.00,84.00;91.00,100.00"
17,"104.00,185.00;93.00,185.00"
