patch_id,keypoints
21,"117.00,121.00;147.00,139.00;120.00,144.00;133.00,141.00"
15,"92.00,141.00;105.00,142.00"
8,"39.00,97.00;52.00,90.00;67.00,88.00;68.00,98.00;53.00,100.00"
14,"82.00,95.00"
26,"148.00,91.00;163.00,82.00;178.00,81.00;180.00,91.00;164.00,92.00"
32,"192.00,86.00"
17,"75.00,187.00"
28,"171.00,183.00;151.00,169.00"
22,"121.00,177.00;121.00,165.00;133.00,162.00"
20,"114.00,78.00;114.00,92.00;116.00,106.00"
16,"92.00,172.00;108.00,163.00"
29,"154.00,191.00"
23,"137.00,194.00;124.00,194.00"
