patch_id,keypoints
15,"109.00,116.00;82.00,132.00;95.00,135.00;107.00,138.00"
21,"133.00,133.00;120.00,136.00"
2,"36.00,86.00"
14,"77.00,86.00;110.00,87.00;109.00,101.00"
20,"141.00,86.00"
26,"181.00,88.00;156.00,80.00;170.00,81.00;170.00,91.00;155.00,89.00"
10,"60.00,173.00"
28,"151.00,173.00"
16,"106.00,165.00;78.00,159.00;94.00,152.00;106.00,155.00"
13,"110.00,73.00"
8,"49.00,80.00;63.00,79.00;64.00,88.00;49.00,89.00"
22,"120.00,153.00;136.00,160.00;135.00,182.00"
23,"120.00,186.00"
17,"105.00,186.00"
