patch_id,keypoints
21,"119.00,140.00;119.00,125.00"
16,"95.00,150.00;77.00,178.00;106.00,152.00;90.00,171.00;104.00,167.00"
22,"137.00,151.00;114.00,178.00;117.00,155.00;128.00,153.00;114.00,170.00;125.00,168.00;138.00,173.00"
8,"46.00,93.00;59.00,90.00;72.00,91.00;71.00,99.00;58.00,98.00"
14,"84.00,97.00"
26,"149.00,98.00;160.00,92.00;174.00,92.00;175.00,100.00;161.00,100.00"
32,"186.00,94.00"
28,"153.00,180.00"
20,"119.00,94.00;119.00,110.00"
23,"138.00,188.00;125.00,191.00;114.00,191.00"
