patch_id,keypoints
21,"130.00,123.00;145.00,139.00;117.00,142.00;128.00,143.00;137.00,141.00"
15,"107.00,140.00"
8,"54.00,90.00;66.00,83.00;66.00,93.00"
14,"92.00,88.00;80.00,82.00;80.00,92.00"
26,"150.00,88.00;162.00,81.00;176.00,82.00;176.00,93.00;162.00,92.00"
32,"186.00,89.00"
16,"87.00,180.00;101.00,168.00"
28,"164.00,180.00;152.00,168.00"
22,"128.00,174.00;117.00,161.00;128.00,164.00;138.00,161.00"
20,"125.00,82.00;127.00,95.00;128.00,109.00"
29,"153.00,189.00"
23,"139.00,192.00;128.00,192.00"
