patch_id,keypoints
21,"118.00,114.00;143.00,132.00;116.00,136.00;130.00,134.00"
15,"91.00,132.00;103.00,133.00"
8,"41.00,86.00;55.00,81.00;69.00,80.00;69.00,88.00;54.00,89.00"
14,"84.00,86.00"
26,"150.00,88.00;165.00,82.00;179.00,82.00;178.00,91.00;164.00,90.00"
32,"191.00,88.00"
10,"72.00,170.00"
28,"160.00,168.00"
22,"117.00,164.00;117.00,153.00;129.00,151.00;145.00,157.00;145.00,176.00;130.00,179.00;117.00,180.00"
20,"119.00,77.00;119.00,89.00;118.00,102.00"
16,"88.00,158.00;105.00,151.00"
