patch_id,keypoints
15,"110.00,129.00;78.00,140.00;110.00,114.00;94.00,143.00;109.00,145.00"
21,"140.00,141.00;125.00,143.00"
2,"33.00,95.00"
14,"79.00,95.00;110.00,84.00;110.00,99.00"
20,"138.00,94.00"
26,"184.00,91.00;154.00,82.00;171.00,82.00;172.00,95.00;155.00,96.00"
10,"62.00,169.00"
28,"156.00,172.00"
16,"107.00,168.00;81.00,163.00;96.00,160.00;107.00,162.00;106.00,178.00"
8,"47.00,86.00;63.00,85.00;64.00,98.00;47.00,99.00"
22,"119.00,161.00;136.00,165.00;136.00,178.00;119.00,178.00"
