patch_id,keypoints
15,"99.00,127.00;79.00,142.00;100.00,112.00;90.00,144.00;102.00,146.00"
21,"127.00,142.00;114.00,143.00"
2,"35.00,89.00"
14,"75.00,90.00;101.00,84.00;101.00,98.00"
20,"135.00,89.00"
26,"179.00,87.00;150.00,81.00;165.00,82.00;166.00,91.00;151.00,91.00"
10,"69.00,177.00"
28,"148.00,177.00"
16,"105.00,175.00;81.00,167.00;94.00,162.00;104.00,164.00"
8,"47.00,84.00;62.00,83.00;62.00,92.00;47.00,93.00"
22,"117.00,161.00;132.00,166.00"
23,"133.00,185.00;118.00,190.00"
17,"105.00,191.00"
