patch_id,keypoints
21,"124.00,125.00;146.00,140.00;112.00,142.00;123.00,144.00;135.00,142.00"
15,"100.00,141.00"
8,"46.00,94.00;58.00,89.00;72.00,89.00;72.00,97.00;58.00,98.00"
14,"86.00,94.00"
26,"153.00,94.00;167.00,90.00;181.00,91.00;181.00,100.00;166.00,99.00"
32,"193.00,96.00"
16,"80.00,176.00;97.00,166.00"
28,"163.00,176.00;148.00,165.00;149.00,184.00"
22,"124.00,172.00;113.00,160.00;124.00,163.00;135.00,160.00"
20,"121.00,84.00;123.00,97.00;123.00,110.00"
23,"135.00,187.00;124.00,187.00"
