patch_id,keypoints
21,"118.00,128.00;147.00,137.00;118.00,111.00;119.00,145.00;134.00,141.00"
15,"91.00,138.00;105.00,142.00"
8,"47.00,87.00;60.00,81.00;60.00,91.00"
14,"90.00,87.00;76.00,79.00;76.00,90.00"
20,"146.00,87.00;118.00,81.00;118.00,96.00"
32,"188.00,87.00"
16,"74.00,175.00;89.00,165.00;106.00,160.00"
28,"165.00,173.00;149.00,163.00;150.00,181.00"
22,"120.00,172.00;120.00,163.00;132.00,159.00"
26,"160.00,80.00;175.00,80.00;175.00,91.00;160.00,90.00"
23,"135.00,186.00;121.00,187.00"
