patch_id,keypoints
21,"129.00,116.00;114.00,135.00;128.00,137.00;140.00,136.00"
15,"103.00,134.00"
27,"152.00,135.00"
8,"54.00,90.00;67.00,85.00;67.00,93.00"
14,"94.00,91.00;80.00,84.00;80.00,92.00"
26,"155.00,92.00;168.00,85.00;182.00,87.00;181.00,95.00;168.00,94.00"
32,"194.00,93.00"
16,"79.00,169.00;98.00,158.00"
28,"169.00,171.00;152.00,159.00;152.00,177.00"
22,"126.00,165.00;116.00,150.00;126.00,153.00;137.00,151.00;136.00,178.00;125.00,178.00"
20,"126.00,81.00;127.00,92.00;128.00,104.00"
