patch_id,keypoints
15,"108.00,119.00;84.00,134.00;96.00,137.00;108.00,139.00"
21,"132.00,134.00;121.00,137.00"
2,"35.00,83.00"
14,"76.00,87.00;108.00,80.00;108.00,93.00;108.00,106.00"
20,"141.00,87.00"
26,"183.00,84.00;155.00,79.00;170.00,79.00;171.00,89.00;156.00,89.00"
10,"68.00,171.00"
28,"154.00,170.00"
16,"109.00,171.00;84.00,164.00;99.00,158.00;109.00,160.00;110.00,184.00"
8,"49.00,78.00;64.00,79.00;63.00,89.00;48.00,89.00"
22,"121.00,158.00;137.00,163.00;139.00,180.00;121.00,184.00"
