patch_id,keypoints
21,"134.00,133.00;133.00,114.00;117.00,145.00;143.00,145.00"
15,"105.00,142.00"
27,"154.00,141.00"
8,"56.00,82.00;69.00,77.00;69.00,85.00"
14,"97.00,84.00;83.00,77.00;83.00,85.00"
26,"154.00,85.00;167.00,78.00;181.00,78.00;181.00,87.00;168.00,87.00"
32,"193.00,83.00"
16,"85.00,173.00;103.00,169.00"
28,"168.00,172.00;155.00,168.00;156.00,176.00"
22,"131.00,174.00;131.00,148.00;119.00,167.00;131.00,170.00;143.00,166.00;144.00,178.00;131.00,179.00"
20,"132.00,80.00;132.00,98.00"
