patch_id,keypoints
15,"110.00,114.00;82.00,129.00;96.00,132.00"
21,"138.00,130.00;111.00,135.00;125.00,132.00"
8,"39.00,90.00;52.00,84.00;65.00,83.00;66.00,90.00;52.00,92.00"
14,"78.00,87.00;110.00,76.00;110.00,89.00;110.00,102.00"
20,"141.00,88.00"
26,"180.00,91.00;156.00,84.00;169.00,85.00;168.00,92.00;155.00,91.00"
10,"60.00,168.00"
28,"162.00,166.00"
16,"110.00,167.00;80.00,161.00;98.00,156.00;109.00,158.00"
22,"123.00,155.00;143.00,160.00;145.00,180.00"
23,"126.00,185.00;111.00,186.00"
