patch_id,keypoints
15,"107.00,132.00;85.00,143.00;107.00,114.00;95.00,147.00"
21,"129.00,143.00;119.00,147.00"
8,"38.00,87.00;51.00,83.00;66.00,83.00;66.00,90.00;51.00,91.00"
14,"81.00,89.00;106.00,83.00;107.00,99.00"
20,"133.00,89.00"
26,"176.00,87.00;149.00,83.00;163.00,83.00;164.00,91.00;149.00,91.00"
10,"70.00,175.00"
28,"148.00,174.00"
16,"107.00,175.00;107.00,150.00;84.00,169.00;97.00,165.00;107.00,168.00"
22,"120.00,165.00;134.00,169.00;135.00,182.00"
23,"121.00,186.00"
17,"108.00,188.00"
