patch_id,keypoints
15,"104.00,120.00;75.00,137.00;89.00,140.00;103.00,143.00"
21,"131.00,135.00;118.00,139.00"
2,"29.00,86.00"
8,"71.00,87.00;43.00,81.00;58.00,80.00;57.00,89.00;42.00,90.00"
20,"135.00,86.00"
26,"176.00,85.00;151.00,79.00;165.00,79.00;165.00,88.00;150.00,88.00"
10,"56.00,182.00"
22,"139.00,174.00;111.00,161.00;123.00,165.00;124.00,177.00;111.00,179.00"
16,"100.00,171.00;75.00,171.00;91.00,164.00;100.00,165.00;100.00,180.00"
14,"103.00,78.00;103.00,92.00;103.00,106.00"
