patch_id,keypoints
21,"136.00,121.00;118.00,139.00;131.00,142.00;142.00,140.00"
15,"105.00,137.00"
27,"153.00,139.00"
8,"53.00,92.00;67.00,87.00;67.00,94.00"
14,"94.00,91.00;81.00,86.00;81.00,93.00"
26,"156.00,93.00;171.00,89.00;184.00,90.00;183.00,97.00;170.00,96.00"
32,"195.00,95.00"
10,"71.00,171.00"
28,"170.00,175.00;157.00,163.00"
22,"128.00,171.00;116.00,155.00;129.00,158.00;141.00,155.00"
20,"132.00,82.00;133.00,96.00;134.00,109.00"
16,"95.00,162.00"
29,"155.00,185.00"
23,"139.00,188.00;126.00,188.00"
