patch_id,keypoints
20,"123.00,107.00;121.00,83.00;121.00,94.00"
15,"94.00,128.00;108.00,129.00"
27,"148.00,128.00"
8,"39.00,84.00;53.00,76.00;69.00,74.00;69.00,86.00;53.00,86.00"
14,"85.00,82.00"
26,"149.00,84.00;165.00,76.00;182.00,78.00;181.00,89.00;165.00,88.00"
32,"194.00,86.00"
10,"69.00,166.00"
28,"173.00,166.00;154.00,156.00;155.00,175.00"
22,"121.00,163.00;121.00,151.00;135.00,149.00;137.00,178.00;124.00,178.00"
19,"120.00,71.00"
21,"121.00,130.00;135.00,129.00"
16,"89.00,156.00;109.00,149.00"
