patch_id,keypoints
21,"125.00,121.00;147.00,138.00;111.00,141.00;124.00,143.00;135.00,141.00"
15,"98.00,139.00"
8,"40.00,93.00;55.00,87.00;70.00,87.00;70.00,98.00;54.00,98.00"
14,"85.00,95.00"
26,"152.00,94.00;167.00,87.00;182.00,87.00;183.00,99.00;167.00,98.00"
32,"194.00,93.00"
16,"76.00,177.00;94.00,167.00"
28,"167.00,176.00;150.00,166.00"
22,"124.00,175.00;112.00,160.00;124.00,163.00;134.00,160.00"
20,"121.00,84.00;121.00,97.00;124.00,109.00"
29,"151.00,189.00"
23,"136.00,192.00;124.00,193.00"
