patch_id,keypoints
21,"135.00,124.00;120.00,141.00;134.00,145.00;147.00,141.00"
15,"107.00,139.00"
27,"157.00,136.00"
8,"54.00,92.00;67.00,87.00;68.00,95.00"
14,"95.00,90.00;81.00,85.00;82.00,93.00"
26,"154.00,89.00;167.00,85.00;180.00,85.00;180.00,93.00;167.00,92.00"
32,"192.00,89.00"
16,"89.00,179.00;105.00,168.00"
28,"175.00,174.00;161.00,165.00"
22,"135.00,176.00;121.00,162.00;134.00,165.00;146.00,161.00"
20,"128.00,81.00;131.00,95.00;133.00,109.00"
29,"162.00,185.00;149.00,190.00"
23,"136.00,192.00"
