patch_id,keypoints
21,"128.00,117.00;112.00,134.00;127.00,137.00;139.00,134.00"
15,"98.00,131.00"
27,"151.00,130.00"
8,"43.00,88.00;56.00,82.00;70.00,80.00;70.00,90.00;56.00,90.00"
14,"85.00,87.00"
20,"147.00,87.00;120.00,77.00;121.00,90.00;125.00,103.00"
32,"186.00,88.00"
16,"77.00,170.00;98.00,160.00"
28,"169.00,169.00;153.00,158.00;155.00,175.00"
22,"128.00,165.00;114.00,155.00;127.00,157.00;138.00,154.00;141.00,177.00;129.00,177.00"
26,"161.00,81.00;175.00,81.00;174.00,90.00;160.00,89.00"
