patch_id,keypoints
20,"121.00,109.00;143.00,81.00;118.00,82.00;120.00,94.00"
15,"90.00,126.00;105.00,128.00"
27,"150.00,125.00"
8,"42.00,85.00;55.00,82.00;68.00,80.00;69.00,85.00;55.00,86.00"
14,"84.00,80.00"
32,"187.00,84.00"
10,"70.00,165.00"
28,"169.00,163.00;150.00,153.00;152.00,176.00"
22,"121.00,160.00;121.00,150.00;135.00,180.00;121.00,180.00"
19,"116.00,69.00"
21,"121.00,131.00;136.00,128.00;132.00,147.00"
26,"159.00,79.00;173.00,81.00;172.00,86.00;157.00,84.00"
16,"89.00,155.00;108.00,148.00"
