patch_id,keypoints
21,"112.00,127.00;136.00,137.00;113.00,111.00;114.00,144.00;126.00,141.00"
15,"93.00,138.00;103.00,141.00"
8,"49.00,88.00;60.00,84.00;60.00,92.00"
14,"87.00,87.00;74.00,83.00;74.00,91.00"
20,"142.00,86.00;113.00,82.00;113.00,96.00"
26,"180.00,84.00;154.00,80.00;167.00,80.00;168.00,88.00;155.00,88.00"
10,"72.00,172.00"
28,"158.00,169.00"
22,"116.00,171.00;116.00,168.00;126.00,165.00;140.00,166.00;140.00,172.00;126.00,174.00;116.00,175.00"
16,"89.00,168.00;104.00,165.00"
