patch_id,keypoints
21,"135.00,126.00;133.00,112.00;120.00,143.00;131.00,145.00;140.00,143.00"
15,"109.00,142.00"
27,"148.00,141.00"
8,"48.00,87.00;62.00,81.00;62.00,92.00"
14,"92.00,89.00;77.00,81.00;77.00,92.00"
26,"149.00,90.00;163.00,81.00;178.00,81.00;179.00,92.00;164.00,92.00"
32,"190.00,87.00"
16,"82.00,171.00;103.00,165.00"
28,"165.00,171.00;150.00,167.00;150.00,177.00"
22,"128.00,170.00;119.00,161.00;129.00,164.00;137.00,162.00;138.00,178.00;129.00,178.00"
20,"128.00,84.00;130.00,98.00"
