patch_id,keypoints
21,"121.00,121.00;121.00,141.00;137.00,138.00"
15,"94.00,135.00;107.00,138.00"
27,"151.00,135.00"
8,"49.00,91.00;62.00,85.00;62.00,91.00"
14,"89.00,88.00;75.00,84.00;76.00,90.00"
26,"152.00,89.00;165.00,85.00;178.00,87.00;178.00,93.00;165.00,91.00"
32,"190.00,93.00"
10,"70.00,169.00"
28,"174.00,167.00;155.00,158.00;156.00,174.00"
22,"125.00,166.00;124.00,158.00;138.00,154.00;140.00,178.00;125.00,180.00"
20,"121.00,78.00;121.00,92.00;121.00,107.00"
16,"90.00,160.00;109.00,155.00"
