patch_id,keypoints
21,"133.00,129.00;131.00,113.00;118.00,145.00;141.00,144.00"
15,"107.00,141.00"
27,"150.00,140.00"
8,"45.00,86.00;59.00,74.00;58.00,91.00"
14,"91.00,87.00;76.00,74.00;76.00,90.00"
26,"151.00,85.00;183.00,86.00;166.00,87.00"
32,"194.00,80.00"
16,"84.00,171.00;102.00,164.00"
28,"167.00,168.00;153.00,163.00;154.00,172.00"
22,"129.00,168.00;131.00,148.00;117.00,161.00;129.00,163.00;140.00,160.00;142.00,174.00;131.00,175.00"
20,"127.00,82.00;128.00,98.00"
25,"165.00,71.00;182.00,70.00"
