patch_id,keypoints
21,"127.00,117.00;113.00,133.00;127.00,136.00;140.00,133.00"
15,"99.00,130.00"
27,"153.00,130.00"
8,"49.00,88.00;62.00,81.00;60.00,91.00"
14,"90.00,87.00;76.00,80.00;76.00,90.00"
26,"153.00,88.00;167.00,81.00;181.00,81.00;182.00,92.00;167.00,91.00"
32,"192.00,88.00"
16,"84.00,168.00;100.00,156.00"
28,"169.00,168.00;155.00,155.00;156.00,175.00"
22,"128.00,163.00;116.00,149.00;128.00,151.00;139.00,149.00;140.00,178.00;128.00,178.00"
20,"123.00,78.00;124.00,91.00;125.00,104.00"
