patch_id,keypoints
20,"119.00,108.00;120.00,76.00;120.00,86.00;119.00,97.00"
15,"94.00,130.00;106.00,132.00"
21,"146.00,130.00;119.00,133.00;133.00,131.00"
8,"50.00,90.00;62.00,85.00;62.00,92.00"
14,"89.00,89.00;75.00,84.00;75.00,91.00"
26,"154.00,89.00;168.00,84.00;182.00,85.00;182.00,93.00;168.00,92.00"
32,"195.00,91.00"
16,"74.00,172.00;91.00,160.00;108.00,152.00"
28,"169.00,170.00;151.00,159.00;152.00,178.00"
22,"121.00,166.00;121.00,155.00;134.00,152.00;136.00,180.00;123.00,180.00"
