patch_id,keypoints
15,"108.00,130.00;85.00,137.00;109.00,114.00;96.00,142.00;107.00,145.00"
21,"130.00,139.00;119.00,142.00"
2,"32.00,85.00"
14,"76.00,88.00;110.00,99.00"
20,"145.00,89.00;111.00,84.00"
32,"189.00,88.00"
10,"62.00,168.00"
28,"150.00,168.00"
16,"107.00,168.00;80.00,161.00;97.00,157.00;108.00,159.00"
8,"46.00,78.00;62.00,78.00;60.00,90.00;45.00,90.00"
26,"160.00,81.00;176.00,81.00;177.00,92.00;161.00,92.00"
22,"120.00,157.00;136.00,161.00;136.00,181.00"
23,"120.00,187.00"
17,"107.00,188.00"
